#{"t_start": 1733096099.8957553, "env_id": "None"}
r,l,t
-0.05937469,7,8285.000156
-0.05937469,7,8285.000163
-0.05937469,7,8285.000169
-0.05937469,7,8285.000177
-2.8241782,77,8794.18908
-2.8241782,77,8794.189128
-2.8241782,77,8794.189138
-2.8241782,77,8794.189145
-2.8241782,77,8794.189152
-2.8241782,77,8794.189158
-2.8241782,77,8794.189165
-2.8241782,77,8794.189171
-1.1937733,38,8795.621588
-1.1937733,38,8795.621634
-1.1937733,38,8795.621644
-1.1937733,38,8795.62165
-1.1937733,38,8795.621657
-1.1937733,38,8795.621664
-1.1937733,38,8795.62167
-1.1937733,38,8795.621676
-0.7053443,19,8796.648767
-0.7053443,19,8796.648818
-0.7053443,19,8796.648828
-0.7053443,19,8796.648835
-0.7053443,19,8796.648841
-0.7053443,19,8796.648848
-0.7053443,19,8796.648854
-0.7053443,19,8796.648861
-0.93402874,27,9395.709163
-0.93402874,27,9395.709214
-0.93402874,27,9395.709224
-0.93402874,27,9395.709231
-0.93402874,27,9395.709238
-0.93402874,27,9395.709244
-0.93402874,27,9395.709251
-0.93402874,27,9395.709257
-0.65649164,18,9396.815742
-0.65649164,18,9396.815799
-0.65649164,18,9396.815808
-0.65649164,18,9396.815815
-0.65649164,18,9396.815822
-0.65649164,18,9396.815829
-0.65649164,18,9396.815835
-0.65649164,18,9396.815842
-0.042392135,7,9397.649535
-0.042392135,7,9397.649586
-0.042392135,7,9397.649595
-0.042392135,7,9397.649603
-0.042392135,7,9397.649609
-0.042392135,7,9397.649616
-0.042392135,7,9397.649623
-0.042392135,7,9397.649629
-1.5780978,36,9872.098138
-1.5780978,36,9872.098194
-1.5780978,36,9872.098204
-1.5780978,36,9872.098211
-1.5780978,36,9872.098217
-1.5780978,36,9872.098224
-1.5780978,36,9872.09823
-1.5780978,36,9872.098236
-0.067735195,7,9872.957536
-0.067735195,7,9872.957582
-0.067735195,7,9872.957592
-0.067735195,7,9872.957599
-0.067735195,7,9872.957606
-0.067735195,7,9872.957613
-0.067735195,7,9872.957619
-0.067735195,7,9872.970626
-1.8599324,44,9874.666113
-1.8599324,44,9874.666165
-1.8599324,44,9874.666174
-1.8599324,44,9874.666181
-1.8599324,44,9874.666188
-1.8599324,44,9874.666194
-1.8599324,44,9874.666201
-1.8599324,44,9874.666207
-0.05835545,7,10299.614444
-0.05835545,7,10299.614496
-0.05835545,7,10299.614506
-0.05835545,7,10299.614513
-0.05835545,7,10299.61452
-0.05835545,7,10299.614526
-0.05835545,7,10299.614532
-0.05835545,7,10299.614539
-2.57427,61,10301.71712
-2.57427,61,10301.717167
-2.57427,61,10301.717176
-2.57427,61,10301.717184
-2.57427,61,10301.717191
-2.57427,61,10301.717197
-2.57427,61,10301.717203
-2.57427,61,10301.71721
-0.07721567,7,10302.564348
-0.07721567,7,10302.564396
-0.07721567,7,10302.564405
-0.07721567,7,10302.564412
-0.07721567,7,10302.564419
-0.07721567,7,10302.564425
-0.07721567,7,10302.564432
-0.07721567,7,10302.564439
-8.5241585,266,10733.202376
-8.5241585,266,10733.213427
-8.5241585,266,10733.213452
-8.5241585,266,10733.213461
-8.5241585,266,10733.213468
-8.5241585,266,10733.213475
-8.5241585,266,10733.213481
-8.5241585,266,10733.213488
-0.12828338,7,10734.073458
-0.12828338,7,10734.07351
-0.12828338,7,10734.07352
-0.12828338,7,10734.073528
-0.12828338,7,10734.073535
-0.12828338,7,10734.073542
-0.12828338,7,10734.073549
-0.12828338,7,10734.073555
-8.057827,255,10740.865073
-8.057827,255,10740.865126
-8.057827,255,10740.865138
-8.057827,255,10740.865146
-8.057827,255,10740.865154
-8.057827,255,10740.865162
-8.057827,255,10740.865169
-8.057827,255,10740.865175
317499
-83.871185,512,1886.317506
-111.75375,512,1897.740371
-63.114998,512,1899.332532
-155.19699,512,1899.332586
-158.3317,512,1899.332596
-51.875935,512,1899.332605
-109.42019,512,1899.332613
-123.715294,512,1899.332621
-84.35705,512,1899.332629
0.4548744,3,1899.729893
0.45357352,3,1900.139636
0.45259976,3,1900.529585
